"filename", "language", "C++", "JSON", "JavaScript", "XML", "TypeScript", "JSON with Comments", "Rust", "Markdown", "vue", "MS SQL", "Shell Script", "C", "Dotenv", "PostCSS", "comment", "blank", "total"
"/Users/user/Desktop/Struct/web/app/composables/useDownlinks.ts", "TypeScript", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 18, 138
"/Users/user/Desktop/Struct/web/app/composables/useEntitlements.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 61
"/Users/user/Desktop/Struct/web/app/composables/useOrganization.ts", "TypeScript", 0, 0, 0, 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 51, 412
"/Users/user/Desktop/Struct/web/app/composables/useTelemetry.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 63
"/Users/user/Desktop/Struct/web/app/layouts/auth.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/user/Desktop/Struct/web/app/layouts/default.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 14, 212
"/Users/user/Desktop/Struct/web/app/middleware/auth.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/user/Desktop/Struct/web/app/pages/confirm.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/user/Desktop/Struct/web/app/pages/dashboard/audit-logs.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 18, 125
"/Users/user/Desktop/Struct/web/app/pages/dashboard/debugger.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/user/Desktop/Struct/web/app/pages/dashboard/destinations.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 353, 0, 0, 0, 0, 0, 0, 24, 377
"/Users/user/Desktop/Struct/web/app/pages/dashboard/devices.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 354, 0, 0, 0, 0, 0, 2, 31, 387
"/Users/user/Desktop/Struct/web/app/pages/dashboard/index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 15, 129
"/Users/user/Desktop/Struct/web/app/pages/dashboard/organization.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 351, 0, 0, 0, 0, 0, 5, 28, 384
"/Users/user/Desktop/Struct/web/app/pages/dashboard/schema.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/user/Desktop/Struct/web/app/pages/dashboard/settings.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 607, 0, 0, 0, 0, 0, 4, 45, 656
"/Users/user/Desktop/Struct/web/app/pages/index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 1944, 0, 0, 0, 0, 0, 13, 217, 2174
"/Users/user/Desktop/Struct/web/app/pages/login.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 15, 188
"/Users/user/Desktop/Struct/web/app/pages/signup.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 9, 104
"/Users/user/Desktop/Struct/web/app/types/database.types.ts", "TypeScript", 0, 0, 0, 0, 384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 387
"/Users/user/Desktop/Struct/web/app/types/index.ts", "TypeScript", 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32, 216
"/Users/user/Desktop/Struct/web/app/utils/parseBulkUpload.ts", "TypeScript", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 133
"/Users/user/Desktop/Struct/web/nuxt.config.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 77
"/Users/user/Desktop/Struct/web/package-lock.json", "JSON", 0, 12825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12826
"/Users/user/Desktop/Struct/web/package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/user/Desktop/Struct/web/public/hero-shot.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/user/Desktop/Struct/web/public/site.webmanifest", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/user/Desktop/Struct/web/public/struct-logo-mini.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/user/Desktop/Struct/web/public/struct-logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/user/Desktop/Struct/web/server/api/billing/usage.get.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/user/Desktop/Struct/web/server/api/devices/[id].delete.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 42
"/Users/user/Desktop/Struct/web/server/api/devices/[id]/key.post.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"/Users/user/Desktop/Struct/web/server/api/devices/bulk/index.post.ts", "TypeScript", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 204
"/Users/user/Desktop/Struct/web/server/api/devices/bulk/preview.post.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 87
"/Users/user/Desktop/Struct/web/server/api/devices/index.post.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 84
"/Users/user/Desktop/Struct/web/server/api/stripe/checkout.post.ts", "TypeScript", 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 195
"/Users/user/Desktop/Struct/web/server/api/stripe/portal.post.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 94
"/Users/user/Desktop/Struct/web/server/api/stripe/sync-checkout.post.ts", "TypeScript", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 121
"/Users/user/Desktop/Struct/web/server/api/stripe/sync.post.ts", "TypeScript", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 101
"/Users/user/Desktop/Struct/web/server/api/stripe/webhook.post.ts", "TypeScript", 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27, 212
"/Users/user/Desktop/Struct/web/server/utils/auth.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
